title,author,link,date,edition,edition_link,resumo_link,pdf_link,fonte,termo
Crowdfunding e crowdsourcing como meio de viabilizar inovação,"Alexandra  Presser, Gabriel Souza  Prim, Marina Machado  Silva, Gilson  Braviano, Milton Horn  Vieira",https://periodicos.ufjf.br/index.php/triades/article/view/42726,2017-05-03,,,,,Tríades em Revista,design thinking
O desenvolvimento criativo das ilustrações da série personagens da ilha,"Maria Collier de  Mendonça, Marcos  Bernardes, Eduardo  Napoleão, Robson  Freire, Richard  Perassi",https://periodicos.ufjf.br/index.php/triades/article/view/42908,2021-12-22,,,,,Tríades em Revista,design thinking
UX DESIGN E MAPA DA JORNADA DO USUÁRIO COMO ABORDAGEM PARA O DESENVOLVIMENTO DE POLTRONA ERGONÔMICA PARA IDOSOS / UX DESIGN AND USER JOURNEY MAPPING AS AN APPROACH FOR THE DEVELOPMENT OF AN ERGONOMIC CHAIR FOR THE ELDERLY,Autor desconhecido,https://www.educacaografica.inf.br/artigos/ux-design-e-mapa-da-jornada-do-usuario-como-abordagem-para-o-desenvolvimento-de-poltrona-ergonomica-para-idosos-ux-design-and-user-journey-mapping-as-an-approach-for-the-development-of-an-ergonomic,Data não informada,,,,,Educação Gráfica,ux
DESENVOLVIMENTO DE FLUXOGRAMAS TÁTEIS A PARTIR DE DIAGRAMAS DE ANÁLISE DE PROJETO ARQUITETÔNICO: RELATO DE UMA EXPERIÊNCIA EM AULAS PRÁTICAS / DEVELOPMENT OF TACTILE FLOWCHARTS FROM ARCHITECTURAL PROJECT ANALYSIS DIAGRAMS: REPORT OF AN EXPERIENCE IN PRACTICAL CLASSES,Autor desconhecido,https://www.educacaografica.inf.br/artigos/desenvolvimento-de-fluxogramas-tateis-a-partir-de-diagramas-de-analise-de-projeto-arquitetonico-relato-de-uma-experiencia-em-aulas-praticas-development-of-tactile-flowcharts-from-architectural-proj-2,Data não informada,,,,,Educação Gráfica,ux
DESENVOLVIMENTO DE FLUXOGRAMAS TÁTEIS A PARTIR DE DIAGRAMAS DE ANÁLISE DE PROJETO ARQUITETÔNICO: RELATO DE UMA EXPERIÊNCIA EM AULAS PRÁTICAS / DEVELOPMENT OF TACTILE FLOWCHARTS FROM ARCHITECTURAL PROJECT ANALYSIS DIAGRAMS: REPORT OF AN EXPERIENCE IN PRACTICAL CLASSES,Autor desconhecido,https://www.educacaografica.inf.br/artigos/desenvolvimento-de-fluxogramas-tateis-a-partir-de-diagramas-de-analise-de-projeto-arquitetonico-relato-de-uma-experiencia-em-aulas-praticas-development-of-tactile-flowcharts-from-architectural-proj,Data não informada,,,,,Educação Gráfica,ux
NÃO PULE A BULA: DESENVOLVIMENTO DE INTERFACE PARA UM APLICATIVO QUE AUXILIE NA LEITURA DAS BULAS DE MEDICAMENTOS / DON’T SKIP THE MEDICINE INSERT: AN INTERFACE DEVELOPMENT FOR AN APPLICATION THAT HELPS READING OF MEDICINE INSERT,Autor desconhecido,https://www.educacaografica.inf.br/artigos/nao-pule-a-bula-desenvolvimento-de-interface-para-um-aplicativo-que-auxilie-na-leitura-das-bulas-de-medicamentos-dont-skip-the-medicine-insert-an-interface-development-for-an-application-that-he-2,Data não informada,,,,,Educação Gráfica,ux
DEMONSTRAÇÃO DIGITAL DE HABILIDADES MOTORAS FUNDAMENTAIS. O DESIGN E COMPUTAÇÃO GRÁFICA AUXILIANDO NA AVALIAÇÃO DO DESENVOLVIMENTO MOTOR INFANTIL. / DIGITAL DEMONSTRATION OF FUNDAMENTAL MOTOR SKILLS. DESIGN AND COMPUTER GRAPHICS ASSISTING IN THE EVALUATION OF CHILDREN’S MOTOR DEVELOPMENT.,Autor desconhecido,https://www.educacaografica.inf.br/artigos/demonstracao-digital-de-habilidades-motoras-fundamentais-o-design-e-computacao-grafica-auxiliando-na-avaliacao-do-desenvolvimento-motor-infantil-digital-demonstration-of-fundamental-motor-skills,Data não informada,,,,,Educação Gráfica,ux
FERRAMENTA PARA AUXÍLIO À ANÁLISE VISUAL / TOOL TO AID VISUAL ANALYSIS,Autor desconhecido,https://www.educacaografica.inf.br/artigos/ferramenta-para-auxilio-a-analise-visual-tool-to-aid-visual-analysis,Data não informada,,,,,Educação Gráfica,ux
VALORIZAÇÃO DO ENSINO COM AUXÍLIO DA LINGUAGEM PLÁSTICA DOS QUADRINHOS / VALUATION OF TEACHING WITH THE AID OF THE PLASTIC LANGUAGE OF THE COMICS,Autor desconhecido,https://www.educacaografica.inf.br/artigos/valorizacao-do-ensino-com-auxilio-da-linguagem-plastica-dos-quadrinhos-valuation-of-teaching-with-the-aid-of-the-plastic-language-of-the-comics,Data não informada,,,,,Educação Gráfica,ux
DESIGN DE EMBALAGEM DE ALIMENTOS FRESCOS COM O AUXÍLIO DE SIMULAÇÕES FÍSICAS EM AMBIENTE VIRTUAL / FRESH FOOD PACKAGE DESIGN AIDED BY PHYSICS 3D SIMULATIONS THROUG INTERACTIVE VIRTUAL AMBIENTS,Autor desconhecido,https://www.educacaografica.inf.br/artigos/design-de-embalagem-de-alimentos-frescos-com-o-auxilio-de-simulacoes-fisicas-em-ambiente-virtual-fresh-food-package-design-aided-by-physics-3d-simulations-throug-interactive-virtual-ambients,Data não informada,,,,,Educação Gráfica,ux
